text,true,pred
"i think dirty dancing was a great movie , they tried to make another one havana nights which was good but it was nothing like dirty dancing . i would like to see another dirty dancing with the same people . without them i think it would be a mess . a lot of times movies are made then when they try to add on more they start to change the people an make the movies go down hill . i would love to see dirty dancing have another one to see what happened after they were able to be together . patrick an jennifer did so well together . this movie was made in 1997 its time to make another one . but this time start where it left off an keep the same people in it .",1,0
"what alice found is the greatest movie that nobody's ever heard of ! i underestimated it when i heard of it , and i though that it would all sex , no plot , and just really stupid , but in reality , it was really good . they say all indie movies suck , but this one , and napoleon dynamite didn't suck . i asked my friend , who'd seen it before i did , and she said that alice has all these threeways , and you see all this nudity , but no , there is no threeway that i remember , and little nudity . the movie did have a point , and it taught me never trust hitchhikers . i liked that in the end , they got alice a little dolphin in the end , on her way to flordia . i totally suggest seeing this movie .",1,0
"i thought the original of this film was quaint and charming as well as having me sitting on the edge of my seat trying to figure it out . br br since i had already seen the original , when i saw this on sci fi channel i don't know if this remake was deliberately made for sci fi i knew what it was within the first few minutes . since i like richard burgi as a character actor , i wanted to see how he would pull it off . br br the writersproducers etc , modernized the film a bit by trying to explain the plight of the aliens they could no longer reproduce their own kind and needed help using the same pseudo science that has been crammed in our ears in the 90's . maybe it added a bit of polish to the film , or not . br br this film . film ? this production takes on a more sinister edge than the original did the original ended with a confrontation between the young woman and the alien and an understanding of sorts took place , although no resolution of the alien's problem . br br i sort of remember that in this remake , the woman became rather hostile towards the burgialien i think it could have ended better . but the ending is just the ending , and the yarn is a swell yarn , being of the basic 1958 science fiction pulp stock . many great science fiction stories were written in the 50's and some of them even made it to film . br br this is a swell thing to watch on like a rainy day or something . i rate it highly cos of all the remakes of old 50's sci fi , this one came off well . i actually enjoyed this quite a bit . br br but if anyone really wants to see this story told well , i suggest the original 1958 version with tom tyron and gloria talbott , directed by gene fowler jr .",1,0
"twisted desire 1996 was a tv movie starring melissa joan hart . melissa's character , jennifer stanton , a seventeenyearold seduces her current boyfriend nick ryan into murdering her two parents . the movie is based on the 1990 murders of the parents of 14 year old jessica wiseman . jessica had her 17 year old boyfriend douglas christopher thomas shoot and kill her parents ! thomas was executed in 2000 ! jessica was released from prison when she turned 21 years old . evidence now suggests that it was jessica who fired the fatal shot that killed her mother . jessica is known to now be residing somewhere in the state of virginia .",1,0
"this movie is outrageous , funny , ribald , sophisticated hits the bullseye where 99 of hollywood movies don't even make the target . paul bartel should be recognized as one of the great directors of this or any era . he's the american renoir bunuel combined ! ! ! glad i have the videodisc .",1,0
the good thing about this film is that it stands alone you don't have to have seen the original . unfortunately this is also it's biggest drawback . it would have been nice to have included a few of the original characters in the new story and seen how their lives had developed . sinclair as in the original is excellent and provides the films best comic moments as he attempts to deal with awkward and embarrassing situations but the supporting cast is not as strong as in the original movie . forsyth is to be congratulated on a brave attempt to move the character on and create an original sequel but the film is ultimately flawed and lacks the warmth of the original,1,0
"financially strapped paramount pulled out all the stops for this '34 stage adaptation entry big budget , large cast , extravagant production and mitch leisen tagged as the director . what happened ? two things busby berkeley didn't work for the outof focus rock and a murder mystery script that didn't deserve to be in the same trash can as the worst charlie chan first draft down the street . i have to believe that the cutting was out of leisen's hands since the great duke ellington's number is savagely chopped , but that doesn't mean that it ain't worth a look the 'sweet marihuana' number featuring topless chorus girls is a mind blower , considering the looming production code and it also has the ravishing toby wing whose unfortunately fed horrible lines and playing the prototype dumb blonde as a chorion hot for an otherwise preoccupied jack oakie . carl brisson's acting is bland as melba toast but he's a competent singer . maclaglen reaches for new plateaus as a stereotypical dumb detective . and try to spot lucy in the chorus . this rates a 7 . 0 as a curiosity . feb 2010 rethink i recently gave the film another look and now feel i was wrong to berate the lack of busby berkeley production numbers . i can understand leisen's argument for more realistic production numbers within the context of the plot . i still have enormous issues with the editing however . paramount , the raciest major studio in town , faced huge issues with the production code at the worst possible time in it's history , financially speaking , and pulled out all the stops on this one also check out 1934's search for beauty . a must see for precode buffs .",1,0
"a very strange , disturbing but intriguing film . i don't think i ever needed to see what a human being can do with his butt , and i doubt if i'll ever want to see it again . that said , there is much to be amused by , like divine's take on jayne mansfield's classic walk in the girl can't help it and putting slabs of meat between her legs in a grocery store . a gritty feel very much like a russ meyer film . generally poor acting , with the notable exception of divine .",1,0
"this is not a serious film , and does not pretend to be , but it is not as bad as some of its reviews , it's title , and the first ten minutes lead you to expect . br br the plot is very silly , but this adds to the lighthearted fun and enthusiasm which runs through the film . the characters are played sympathetically , and while they do engage in typical teenage angst , they generally avoid the sickly sentimentality usually to be found in this film genre . br br unusually set in london , sympathetic to geeks , this is well worth a watch if it happens to be on ; if you want some tongueincheek silliness , and don't mind suspending your disbelief .",1,0
"conrad hall went out with a bang . the great film photographer finished his illustrious career with this movie before passing on . he did himself proud as this is one of the bestlooking crime films you'll ever see . br br of course , the acting ain't bad when you have tom hanks and paul newman playing the leads ! the amount of action in here is just right , too not too much ; not too little . br br none of the characters in here , frankly , are good guys as hanks is a professional hitman for town boss newman . hanks' only redeeming quality is not wanting his young son to wind up a killer like him , although he does teach him how to be the getaway man in robberies ! huh ? br br as good as the acting is and as interesting as the story is , the real star of this film is cinematographer hall , who paints scene after beautiful scene with his lens . his work is just awesome .",1,0
