text,true,pred
"the motion picture was , in all likelihood , made in the year 1930 and released in 1931 . i would surmise that talking motion pictures had great difficulty in making the transition from the silent era . nevertheless , this particular zane grey plot appears to be very weak . also , gary cooper was probably just learning to act . the result is something that would not be acceptable by today's standards . for 1931 , maybe . for 2004 , not acceptable . some of the actors performed well . sadly , the indians always get the short end in these early westerns . they were living on the land long before the white man came , but according to twisted history , they had no right to defend themselves .",0,1
"i think that you can not imagine how these people really work . ! before i came to the studios to watch the guys work there , i actually thought quite the same as you do . but since i saw and did the work the guys on that tv show have to do , i have to say that they really do deserve respect for what they are doing all day long . that really is no easy work . and also the actors , which in your eyes may be terribly bad , are really great people and a lot of them really can act ! i don't think that the material given to them can really show that , as i think this material isn't very good . but they are truly good ! so i don't think that you , before you haven't seen these guys doing there work , can judge over them ! and i shouldn't have judged over them as well before i met them , but i did and am now terribly ashamed of it . so please , do not allow yourself to judge over these great people unless you haven't seen them doing there job .",0,1
"i was really disappointed with this film . the first waters movie i saw was serial mom and i loved it . then i saw pecker and i loved it . then i watched polyester and really sort of hated it . the only thing i liked about that movie was divine . she he had a hell of a lot of talent . i was truly surprised . as a whole , i wouldn't recommend this film .",0,1
don't get me wrong i love david suchet as poirot . i love the series as well as the movies but enough already re death on the nile . everyone has done this one ! we know who dies . we know why they die . we know who the killer is . we know how it was done . so i say enough already ! mr . suchet could have used that awesome talent in another one of agatha christie's novels . i will say that the acting by all the actors was superb . the sets were terrific and very realistic . i especially liked david soul but i was surprised at how 'awful' he looked . i hope he doesn't look that way in 'real' life ! i honestly can't remember from other movies whether the very end was the same . somehow i don't think so . i thought that was a rather brilliant touch whether or not ms . christie wrote it that way . i would much rather have that ending then wasting away in prison !,0,1
"there is an inherent problem with commenting or reviewing a film such as this . i remember feeling the same way after disliking dogma . if you do not like a film that is odd and controversial like mulholland dr . , you are seen as not getting it . of course for those who have already seen this film you know that the entire point is not getting it anyway . i have heard from several different sources that the unique and likable aspect of this film is a dream like quality it has . in other words , the plot isn't structured like other films . with the case of mulholland dr . , it seems more like an unfocused collage made by a third grade boy who procrastinated until the last second to do his art project . it doesn't make sense , it isn't supposed to , but i know it was to be a tv series at first . it appears lynch had a stack of unused film and decided to mash it in with a bunch of new stuff . you will notice that toward the end the nudity , sex and foul language increase . all things he would not have filmed for television . for a better film not told in a traditional , linear fashion , rent the thin red line from 1998 . that was a great film , this is not . rating 2 out of ten",0,1
"the movie gets a score of 3 because it dared to be so very different . it features a cast acting while you can hear their thoughts and desires ! this is truly a weird film and an experience i won't forget . the only problem is that the experiment , though in some ways interesting , is generally quite dull and unengaging . in fact , it's amazing that a norma shearer and clark gable film could be this dull ! the film is based on a eugene o'neill play and it really does seem quite stagy . in fact , it would have been best just to keep it as a stage production it just didn't translate at all to the big screen . so this movie is only recommended to die hard cinemaniacs and those who love gable films so much they just have to see all his films !",0,1
"i must say i was disappointed with this film . although it is well acted and directed , the underlying story simply plods along too slowly . granted , in another mood i would have liked it better . i did chuckle a lot , but rarely laughed out loud ; and there was actually a sense of suspense to discover who won . but in contrast to another movie that my wife picked up the same day one neither of us had heard of before this one paled in comparison . if you see lots of movies , then by all means see this it's distinctly better than your average fare . but if you like me have limited time and want to watch only the best and most entertaining , save this for later . rate 7 10",0,1
"anurag basu who co directed the flop kucch to hai made his debut in this film the film was ahead of it's times in a way though it has a story not to different and it came closest to hawas which released 1 week before and luckily this was better and did a better business the movie starts off well , malika's guilt is well shown at the start though the scene with emraan malika is too crude vulgar the scenes between emraan and malika are well handled and the twist in the tale where ashmith confronts emraan is brilliant the pace moves fast and the viewer is kept on the edge but the second girlfriend track of emraan isn't fully convincing also the cop track seems half baked the finale is too filmy too direction by anurag basu is good music is a winner , all songs were fab camera work was stunning emraan played his naughty streak very well , this was the role that gave him stardom and though he kept playing such roles and got annoying in this film he was superb ashmith too was good in his role for once , he did a nice job and one of his only good performance and he looked good too malika was brilliant in her role esp in the second half but her dial delivery was at times not up to the mark sadly rarely she showed such potential in other films raj jhutsi is okay",0,1
"this movie is not that interesting , except for the first ten minutes . the pace and editing are a perfect introduction in an ensemble piece , even better than say gosford park . then it inexplicably slows down , loses focus and starts resembling a traditional french movie only to regain focus in the end with the love relation between antoine depardieu and c cile deneuve . in the middle there are too many sidelines and loose ends in the story , several threads started are not ended . spoilers ahead the main story is the relation between antoine and c cile . he has been loyal to her after his relation with her many years ago , despite her remarrying and setting up home in morocco . as builder he now rebuilds his own life and recovers hers by taking the mask of c cile's marriage . having accomplished this , he is buried after a freak accident literally and becomes a comatose . he wakes only after she has burned their old picture as indication that they've reconciled with the past and can properly start their lives again together . end of spoilers it remains unclear what vision this director wants us to see us because there are so many other stories here illegal immigrants want to enter europe , there are frequent radio broadcasts about the overthrow of iraq's former regime . c cile's child is bisexual and is bitten by dogs loyalty once he meets his boyfriend , whereas the girl he lives with seems to be sick of that ? . her sister is traditional islamic , and enters a relation with c cile's husband . it portrays morocco as unnecessary backward , despite all the building there is a strange colonial vision shining through that almost glorifies the past . it portrays islam as backward and prone to extremism , which may sometimes be true , but certainly not in general . in the end it can all best be described as adding some couleur locale and l'art pour l'art . deneuve and depardieu are great . with this material they are so familiar they are able to spin something extra in every scene lifting an eyebrow , body language , radiating pride , awkward behavior . the movie itself is disappointing and only confirming the limited role of french cinema in the world nowadays . with some notable exceptions of course .",0,1
"this show has been performed live around the country with a wide variety of casts . i saw it first in the provincetown production the first summer it was in p town 2001 before it was , curiously enough , banned in that overwhelmingly gay resort the codes which resulted in its closing have since been amended . i saw it again later in the off broadway , long running production in new york . oddly enough , the p town production was far better than the new york one fresher , cuter , more spirited and funnier but that was only in the 2001 showing ; subsequent attempts to clone the production bare naked lads in 2007 were definitely third rate . this filmed production features a los angelos production cast , and it is , as other comments have suggested , not the best . i would rate it somewhere in between the top notch 2001 p town production and the third rate bare naked lads p town show from last summer .",0,1
