text,true,pred
"god bless 80's slasher films . this is a fun , fun movie . this is what slasher films are all about . now i'm not saying horror movies , just slasher films . it goes like this a high school nerd is picked on by all these stupid jocks and cheerleaders , and then one of their pranks goes horribly wrong . disfigured and back for revenge , sporting a joker jester mask pretty creepy looking , might i add , marty begins to kill off those teens one by one many years later , after he manages to make them believe that their old abandoned high school is having a reunion . that is basically the plot ? what's wrong with that ? that's the beauty of 80's slasher films , most of them i would say . a lot of things could be so ridiculous , but they keep drawing you more in an' in as they go by . especially this film . it features some outrageous killings , and some are quite creative as well . poisoning of a beer can , acid bath , i can't remember a javelin ever being used before in any other slasher film either it really is a fun , fun movie . that's all it is . nevermind the fact that the characters are complete idiots , never mind their stupidity , and never mind the outrageous , random things that occur in this film . such as lights being able to be controlled by the killer when he's not even switching any buttons , you'll see and toilets being able to cough up blood , baths being able to have acid come out of them , just use that as part of your entertainment ! because thats what really makes it entertaining . movies like this represent 80's slashers . never again could movies like this get made , know why ? it isn't the 80's anymore . that is why you should just cherish them for what they are , good fun ! i highly recommend this film if you're a hardcore fan of slahsers such as friday the 13th . one last note this movie also had a kick ass villain as well , marty rantzen . a disfigured , nerd , who kills all his old foes in a creepy jester mask . a good villain makes a good slasher . simon scuddamore , who played marty apparently committed suicide shortly after slaughter high was released . that alone adds something creepy to the film , and sticks with it and it even makes you feel more sorry for the marty character , i guess . all in all , great 80's slashers fun ! it's a shame it will never be the same again .",1,0
"i'm not here to tell you armored is kubrickian , hitchcockian or fellini esquire . nope . referenced directors are more like don siegel charlie varrick and walter hill the warriors . those two helmers didn't fool around with niceties like putting women in their movies . no skirts need apply . they unapologetically made guy movies . guns , lots of guns . men met violent death with a twitch of the jaw . their movies were like a sap to the head . you want a friend ? get a dog . armored is so a guy movie . dueling armored trucks ? bloody gunshot wounds ? exploding money ? if that doesn't get the lizard part of your brain excited , then stay away . at 88 minutes , armored is all muscle without an ounce of fat . we meet six security guards who drive armored trucks , three per truck . the six , led by matt dillon , scheme up a fake hijack involving two trucks . their mission one day is to deliver 42 million from the federal reserve i think . the idea is to drive both trucks to a warehouse , stash the cash , then stage a hijack . sure , the cops will suspect them , but if they stick together they'll get through it . trouble is , one of the six , played by columbus short , is a holdout . at first . but he faces eviction . and he's the guardian for his messed up younger brother . he needs cash bad . matt dillon cajoles , pleads , persuades the holdout . no blood on anyone's hands . a clean getaway . all good , no bad . you'll be rich forever . blue skies smiling at you . right . everything goes to hell , of course . it's one damned thing after another and the stakes keep going up . and it almost all happens claustrophobically inside an abandoned warehouse somewhere in los angeles . in fact , the movie goes out of its way to project a backdrop of industrial urban decay . i happen to like industrial urban decay . kudos to matt dillon , who plays the top bad dog . he goes from charming to disappointed to frustrated to outraged to totally effing insane in the course of the movie . love that guy . also , credit is due to the menacing , throbbing , blistering and totally sinister electronic soundtrack by john murphy . i am guessing he's heard a few tangerine dream records . also , it's surprising that this is a pg 13 movie . i caught one one ! f bomb in this entire movie about violent tough guy robbers . on some level , i like that . take the kids . the director is nimrod antal , a hungarian who made a fine noir set in the budapest subway system called kontroll . screenwriter is an out of nowhere guy called james v . simpson . a lot of the people in this movie are just starting out . i am willing to bet the esteem given to this movie will rise as time goes on and these filmmakers advance in their careers .",1,0
"this movie probably had a 750 budget , and still managed to surpass titanic . i rented this the day i crashed my mom's car , and it was the only thing that cheered me up beyond belief ! it has to be tied with 'the assult of the killer bimbos' . things to look for are 1 . the drive in blow job chinese girl scene 2 . the bleach blonde in the sassoon shirt who never changes 3 . the flinstone like screech out driving 4 . the clashing ensemble worn by the redhead right before she gets killed don't worry , i'm not ruining any surprises , for it's soooo predictable 5 . the guy who finds it necessary to howl . 6 . the mental patient who plays a convincing job of being insane by poking out the eyes of a maniquen . 7 . the hour long chase at the end involving the teacher and the priest . 8 . the womman writing grafitti on the bathroom wall . 9 . last , but not least , the wonderful special effects especially the stab in the boob that made a . heaven help me . popping noise . enjoy !",1,0
"as far as christian film goes , it's typical . lacking of a mega budget they try their best . some times falling short , sometimes hitting the mark . this one almost hit , great acting can only carry a movie so far . a combining of h . p . lovecraft , and frank peretti was a good idea . all's it needed was better back story , and better character development to make it great movie . the visuals are not that bad , also smart holding off the demons till the last few minutes helped keep the suspense at a good pace . could of used a better ending though . not a bad premise having terrorists experiments go wrong . much better than typical hollywood treatment about the demonic realm . maybe someone will finally do this present darkness as a movie .",1,0
"wow , how can i even discuss this movie without tears coming to my eyes ? it was surely the highlight of my year nay my life . as if the raptor graphics weren't amazing enough , the award winning editors continued to use the exact same shot throughout the entire movie , even when the background didn't actually match up with the setting of the scene . wow , what genius . and while the movie is full of plot holes for instance , a few clips of a t rex type animal where a raptor should be and one key moment where pappy finds a torture chamber , screams colin's a girl ! and runs out i will never forget the brilliance that is raptor planet . thank you sci fi for another classic .",1,0
"that kid a is such a babe ; this movie was no titan a . e . of which it is in many ways modeled after but still came off as entertaining , the fact this lost to a piece of monkey crap like tomb raider makes wanna cry ; includes some of the most entertaining characters i've seen in disney film",1,0
i read many commits when it was in the theaters and they were all bad . i think you have to be a certain type of person to enjoy these movies . if you are not a person that enjoyed the waltons or little house . u will not understand nor enjoy these movies . now about loves abiding joy . i knew he was bad news from the start of the movie . i wish it would have shown more of the end instead of letting you just think it . this movie has a lot to do with jeff . it is 6 years later so you know he will be interested in girls . i want to say that i have enjoyed all 4 movies so far . was not crazy about the books . cant wait until the next movie . the way clark talks will get you every time . i would love to see january jones do an appearance . maybe a family reunion or something .,1,0
"okay okay , i must admit , i do somewhat like peter liapis and i'll admit this is not the best ghoulies sequel . i mean , yeah , it had its flaws , such as no ghoulies themselves . but the two ghoulies that come to earth were really funny , i guess they were called , dark and lite . i enjoyed the plot of the movie . and even at the end of the movie both ghoulies implied that there would be a sequel . still waiting . lol . peter liapis reprised his role as jonathan graves , this time playing a detective , how cute ! ghoulies iv may not be scary or suspenseful , but it is definitely funny . i thought i would comment on this movie and just say it's not that bad . it is worth watching even though the ghoulies aren't in it .",1,0
"born again is a okay episode of season 1 . the reincarnation bit , in my opinion , is cool . the more i watch it , the more i like it , yet it will never rise above 'very good' for me . even though it is not very memorable , i'll always remember it as the reincarnation episode . anyway , now i will say what is good and bad about this episode , the good oragami . oh yeah ! that fish tank was nice . thrown out of a window . very classy . x the bad marry your best friend's wife ! ? o o what a random pick to reincarnate . why didn't the guy who died by having his scarf tangled up , try to take his scarf off instead ? conclusion okay episode , not very memorable . 7 10",1,0
"hmmmm , want a little romance with your mystery ? this has it . i think if the romance was ditched this would have made for a better movie . but how could the romance be ditched when the story's borrowed from something called a harlequin romance novel , whatever the heck that is . had the romance been ditched , the story might have been a little too weak . the mystery here wasn't too bad , quite interesting but nothing on the level of mission impossible international espionage . oh well . i thought mel harris was pretty good ; her short skirts , i think , added some sex appeal . but this rob stewart guy probably could have been better cast , maybe with a more well known tv movie actor . the directing was decent and the writing could have been improved on both could have been a little edgier , a little darker , more adventurous . one thing that was great about this was the use of real european locations . that could easily have been changed so this could have been filmed in canada but they really were in magnificently beautiful places like budapest . possibly a drawback was the director and or cinematographer's choice to frame certain shots picture postcard perfect . not good . had this been a more dramatic motion picture shot for the big screen , picture postcard perfect scenes really need to take a backseat and just be a nice part of the background . this was just a tv movie , though , so they had to add some ummmph to the picture and some of that ummmph came from the scenery . overall , twasn't really a bad movie . i'll tell you what , this was absolutely the best canadian hungarian production i have ever seen ! and the only that i know of . i hereby proclaim this to be a mediocre made for tv movie , giving it a grade of c",1,0
"after seeing this film for the 3rd time now i think it is almost adam's worst film punch drunk love is poor in comparison to this i must say at the end when dickie gets thrown of the boat it is so funny the hair is different to his and i like it when he flips everyone off . this film should only be brought if your a true adam sandler fan . the characters are poor in comparison to his funny films like the waterboy , which has the same people in it peter dante who is one of the assassins trying to kill the australian bird . this film lack depth and a decent story line and deserves to be in the bottom 100",1,0
"this is the funniest sequel i have seen in a long time it is much funnier than the other three and not a bit scary . it has some very gory pieces in the film , but not bad enough to make you sick . in this one he has a female doll companion , hence the name . if you liked the first three then you'll love this , go watch it !",1,0
"personally , i enjoyed cut thouroughly . it was the first time i've seen a theatrically release australian slasher flick . a genre normally restricted to the mainstream hollywood films . with all the usual cooky comedies and dramas coming out of australia i loved being able to see a homegrown horror movie that wasn't a rip off of anything . i didn't even think it was really a spoof of other movies . it was a supernaturally theme horror like nightmare on elm street , not scream or i know what you did last summer and therefore there was more of a suspension of disbelief . i think it's about time australian films tried to get more into the mainstream genres . cut was original , scary enough and ultimately just a bit of fun . i'd give it seven out of ten and wouldn't treat it as anything serious . it did what i expected it to do , entertain and scare me enough times to be satisfying . i enjoyed it .",1,0
"a series of shorts spoofing dumb tv shows , groove tube hits and misses a lot . overall , i do really like this movie . unfortunately , a couple of the segments are totally boring . a few really great clips make up for this . a predecessor to such classics like kentucky fried movie .",1,0
"i found this film to be the usual french slap in america's face . the camera , all too often , focuses on fat people , on sloppy homes and on tacky rural areas . while the narration seems to sympathize with and admire the small town folks who are introduced to the viewer , the cinematography exploits and demeans them . there were , undoubtedly , thin people to be seen in glencoe and neat , organized homes , but malle chose to show us the worst of what was there to be seen . i can only hope that some american filmmakers will go to france to reveal to the american public its worst elements . i can assure you , as a frequent visitor to france , that all is not well there . foreign immigrants are not readily assimilated , thus creating severe social inequities . but americans are not eager to unmask the french for their prejudice toward their own compatriots and their envy toward the u . s . , so we're not likely to see films on the subject .",1,0
"i waited a while to post a review of this documentary because when i first saw it over 10 years ago , i wanted to think carefully about what i wanted to write . i found from a documentary standpoint that this is a darned good documentary . it did what it set out to do , show me something i had no idea about and kept me interested in this world it explored . i knew nothing of the drag world and finding out about them and the balls was just spectacular to me . these folks were just so talented with what they do and how they do it , for competition . the catty folks , the complainers even i was angry when someone told the judge that the coat the drag queen was wearing wasn't a man's coat ! , the jealous , it's all there like in every other competition . like every other competition like it . which i felt was a point . you had the older drag queen talking about how the balls used to be compared to the newer drag queens who have changed the balls and made more competition categories and even those who looked on knowing that the future of balls would change even more when they were ready to walk the runway . it was interesting to hear that some of the contestants were living out on the street two minutes before the ball but came to compete , it was that important to them ! then there was sad stories , stories of who's house and house mother brought out the best and the brightest in competition . it was interesting . now to add after 10 years of seeing this film , i lived through the so called 'madonna' craze . i spotted a few familiar faces from this documentary who ended up with madonna during her vogue phase and rightfully so . if not for those individuals , madonna wouldn't have had a vogue phase , i know that now . credit should be given where credit is due . makes me wonder , if anyone else from mainstream america would watch this documentary , they'll learn they're not as mainstream as they think .",1,0
"an enjoyable movie , without a doubt , and very evocative of both its era and that very particular stage in any boy's 'rites of passage' . but i have to say that having read the very positive comments here , i was a bit disappointed . the period was captured , but the plot was desperately thin . the whole thing revolves around the most egregious bit of miscasting in the history of school plays . the idea that quack quack would ever be chosen to play not only one of only three star turns , but a philanderer , is risible . and without that , nada . the sub plots bore no relation that i could see to the main plot all of them could be removed in their entirety without in any way affecting the main story which surely suggests a fundamental flaw . when all your sub plots look like padding , you know a central idea is being stretched beyond its limits . nevertheless , it's a benign movie with its heart in the right place , there are some fine performances , and you just get the feeling that everyone involved felt deflated at the final 'cut ! ' that good feeling permeates the film . and that has to count for something . a flawed really quite good movie . 7 out of 10 .",1,0
"after seeing the 'oh so acclaimed' fargo and thinking it was nothing more than average , i was wandering if it would be a good idea to rent another coen 'masterpiece' . this time i was much less disappointed than i was with fargo and i must say that most of the credit for that goes to the good jokes and the good acting of george clooney . well done mr . clooney , make more of these and less 'perfect stormish' movies . you can act and you showed it here . 7 out of 10",1,0
