text,true,pred
"i disliked this film intensely and left during the scene where the loyalist gang are shot up by the british . the film effectively blames the people of ni as being the cause of their own troubles . it suggests that the 25 year war was a question of intransigence and nothing to do with britain's partition of ireland and domination of its history i . e . ni was created by britain in 1921 irrespective of the wishes of the rest of ireland . the characters are portrayed as hapless fools , even though i despise loyalist paramilitaries they were fighting for a cause maintaining their artificial privileges over the catholic community . it is a known fact that british intelligence collaborated with loyalists during the war , no doubt to keep the catholics at bay and demoralise republicanism . nineties' values about 'machismo' , masculinity etc are transposed on to 1970s belfast and are portrayed as part of the supposedly unique irish 'psyche' which leads to violence . the stupid song from the woman in the club old ireland of green fields . blah . blah . is given a symbolic stature , i . e . poor young fools fighting for an impossible cause . tedious , ahistorical , cheap and nasty trash . o'sullivan has made a personal statement on a conflict which requires serious political analysis .",0,1
"the motion picture was , in all likelihood , made in the year 1930 and released in 1931 . i would surmise that talking motion pictures had great difficulty in making the transition from the silent era . nevertheless , this particular zane grey plot appears to be very weak . also , gary cooper was probably just learning to act . the result is something that would not be acceptable by today's standards . for 1931 , maybe . for 2004 , not acceptable . some of the actors performed well . sadly , the indians always get the short end in these early westerns . they were living on the land long before the white man came , but according to twisted history , they had no right to defend themselves .",0,1
"lynn hollister , a small town lawyer , travels to the nearby big city on business connected with the death of his friend johnny . yes , lynn is a man despite the feminine sounding christian name . were the scriptwriters trying to make a snide reference to the fact that john wayne's birth name was marion ? hollister at first believes johnny's death to have been an accident , but soon realises that johnny was murdered . further investigations reveal a web of corruption , criminality and election rigging connected to boss cameron , the leading light in city 's political machine . that sounds like the plot of a gritty crime thriller , possibly made in the film noir style which was starting to become popular in 1941 . it isn't . a man betrayed , despite its theme , is more like a light romantic comedy than a crime drama . hollister falls in love with cameron's attractive daughter sabra , and the film then concentrates as much on their resulting romance as on the suspense elements . this film might just have worked if it had been made as a straightforward serious drama . one reviewer states that john wayne is not at all believable as a lawyer , but he couldn't play a cowboy in every movie , and a tough crusading lawyer taking on the forces of organised crime would probably have been well within his compass . where i do agree with that reviewer is when he says that wayne was no cary grant impersonator . romantic comedy just wasn't up his street . one of the weaknesses of the studio system is that actors could be required to play any part their bosses demanded of them , regardless of whether it was up their street or not , and as wayne was one of the few major stars working for republic pictures they doubtless wanted to get as much mileage out of him as they could . that said , not even cary grant himself could have made a man betrayed work as a comedy . that's not a reflection on his comic talents ; it's a reflection on the total lack of amusing material in this film . i doubt if anyone , no matter how well developed their sense of humour might be , could find anything to laugh at in it . the film's light hearted tone doesn't make it a successful comedy ; it just prevents it from being taken seriously as anything else . this is one of those films that are neither fish nor flesh nor fowl nor good red herring . 3 10",0,1
"jason connery is not an actor ; he is the son of an actor . his macbeth is the worst i have ever seen . oh yes , he murders king duncan , but he also kills william shakespeare . his wife is even worse . please , give me polanski's version on dvd , so i can forget this monster . jon finch , orson welles , laurence olivier , there you have actors !",0,1
"you know a movie will not go well when john carradine narrates a . k . a . reads the script plot synopsis over his character's funeral procession , a mere 5 minutes into the movie . the narration is his character's last will testament . it stipulates that his estate be divided amongst his 4 children and servants . the children shall split 136 million equally , but if any should die then that share is split amongst the remainders . if all the children should die then it is divided amongst the servants . to be eligible , they must live in the family estate for a week . it sounds like the typical plot of a reality show . there is little subtext as to the nature of the deans . they are a powerful and severely dysfunctional family , but the real trouble starts with the drowning of that dog . from the opening voice over by john carradine you expect this movie will lead to a machiavellian cat and mouse game with a twist ending . that journey is painfully slow and pointless . we trudge through minutes of watching people sitting around , playing pool , throwing darts , the misuse of the through the fish bowl shot , dramatic conversations between silk cravat wearing men , constant bickering , misplaced circus music , bizarre flashbacks reminiscent of faux german expressionism , the horror aesthetic of the 4th grade and heaps of dramatic overacting . this all inevitably leads to the expected ungratifying ending . you will be happy to still be alive , but the pain might be too great to bear alone . share children , share . celluloid rehab",0,1
"i was really disappointed with this film . the first waters movie i saw was serial mom and i loved it . then i saw pecker and i loved it . then i watched polyester and really sort of hated it . the only thing i liked about that movie was divine . she he had a hell of a lot of talent . i was truly surprised . as a whole , i wouldn't recommend this film .",0,1
don't get me wrong i love david suchet as poirot . i love the series as well as the movies but enough already re death on the nile . everyone has done this one ! we know who dies . we know why they die . we know who the killer is . we know how it was done . so i say enough already ! mr . suchet could have used that awesome talent in another one of agatha christie's novels . i will say that the acting by all the actors was superb . the sets were terrific and very realistic . i especially liked david soul but i was surprised at how 'awful' he looked . i hope he doesn't look that way in 'real' life ! i honestly can't remember from other movies whether the very end was the same . somehow i don't think so . i thought that was a rather brilliant touch whether or not ms . christie wrote it that way . i would much rather have that ending then wasting away in prison !,0,1
"there is an inherent problem with commenting or reviewing a film such as this . i remember feeling the same way after disliking dogma . if you do not like a film that is odd and controversial like mulholland dr . , you are seen as not getting it . of course for those who have already seen this film you know that the entire point is not getting it anyway . i have heard from several different sources that the unique and likable aspect of this film is a dream like quality it has . in other words , the plot isn't structured like other films . with the case of mulholland dr . , it seems more like an unfocused collage made by a third grade boy who procrastinated until the last second to do his art project . it doesn't make sense , it isn't supposed to , but i know it was to be a tv series at first . it appears lynch had a stack of unused film and decided to mash it in with a bunch of new stuff . you will notice that toward the end the nudity , sex and foul language increase . all things he would not have filmed for television . for a better film not told in a traditional , linear fashion , rent the thin red line from 1998 . that was a great film , this is not . rating 2 out of ten",0,1
"anurag basu who co directed the flop kucch to hai made his debut in this film the film was ahead of it's times in a way though it has a story not to different and it came closest to hawas which released 1 week before and luckily this was better and did a better business the movie starts off well , malika's guilt is well shown at the start though the scene with emraan malika is too crude vulgar the scenes between emraan and malika are well handled and the twist in the tale where ashmith confronts emraan is brilliant the pace moves fast and the viewer is kept on the edge but the second girlfriend track of emraan isn't fully convincing also the cop track seems half baked the finale is too filmy too direction by anurag basu is good music is a winner , all songs were fab camera work was stunning emraan played his naughty streak very well , this was the role that gave him stardom and though he kept playing such roles and got annoying in this film he was superb ashmith too was good in his role for once , he did a nice job and one of his only good performance and he looked good too malika was brilliant in her role esp in the second half but her dial delivery was at times not up to the mark sadly rarely she showed such potential in other films raj jhutsi is okay",0,1
"new york family is the last in their neighborhood to get a television set , which nearly ruins david niven's marriage to mitzi gaynor . bedroom comedy that rarely ventures into the bedroom and nothing sexy happens there anyway . gaynor as an actress has about as much range as an oven she turns on , she turns off . film's sole compensation is a supporting performance by perky patty duke , pre miracle worker , as niven's daughter . she's delightful ; happy anniversary is not . from",0,1
