text,true,pred
"i'm not here to tell you armored is kubrickian , hitchcockian or fellini esquire . nope . referenced directors are more like don siegel charlie varrick and walter hill the warriors . those two helmers didn't fool around with niceties like putting women in their movies . no skirts need apply . they unapologetically made guy movies . guns , lots of guns . men met violent death with a twitch of the jaw . their movies were like a sap to the head . you want a friend ? get a dog . armored is so a guy movie . dueling armored trucks ? bloody gunshot wounds ? exploding money ? if that doesn't get the lizard part of your brain excited , then stay away . at 88 minutes , armored is all muscle without an ounce of fat . we meet six security guards who drive armored trucks , three per truck . the six , led by matt dillon , scheme up a fake hijack involving two trucks . their mission one day is to deliver 42 million from the federal reserve i think . the idea is to drive both trucks to a warehouse , stash the cash , then stage a hijack . sure , the cops will suspect them , but if they stick together they'll get through it . trouble is , one of the six , played by columbus short , is a holdout . at first . but he faces eviction . and he's the guardian for his messed up younger brother . he needs cash bad . matt dillon cajoles , pleads , persuades the holdout . no blood on anyone's hands . a clean getaway . all good , no bad . you'll be rich forever . blue skies smiling at you . right . everything goes to hell , of course . it's one damned thing after another and the stakes keep going up . and it almost all happens claustrophobically inside an abandoned warehouse somewhere in los angeles . in fact , the movie goes out of its way to project a backdrop of industrial urban decay . i happen to like industrial urban decay . kudos to matt dillon , who plays the top bad dog . he goes from charming to disappointed to frustrated to outraged to totally effing insane in the course of the movie . love that guy . also , credit is due to the menacing , throbbing , blistering and totally sinister electronic soundtrack by john murphy . i am guessing he's heard a few tangerine dream records . also , it's surprising that this is a pg 13 movie . i caught one one ! f bomb in this entire movie about violent tough guy robbers . on some level , i like that . take the kids . the director is nimrod antal , a hungarian who made a fine noir set in the budapest subway system called kontroll . screenwriter is an out of nowhere guy called james v . simpson . a lot of the people in this movie are just starting out . i am willing to bet the esteem given to this movie will rise as time goes on and these filmmakers advance in their careers .",1,0
"as far as christian film goes , it's typical . lacking of a mega budget they try their best . some times falling short , sometimes hitting the mark . this one almost hit , great acting can only carry a movie so far . a combining of h . p . lovecraft , and frank peretti was a good idea . all's it needed was better back story , and better character development to make it great movie . the visuals are not that bad , also smart holding off the demons till the last few minutes helped keep the suspense at a good pace . could of used a better ending though . not a bad premise having terrorists experiments go wrong . much better than typical hollywood treatment about the demonic realm . maybe someone will finally do this present darkness as a movie .",1,0
"this is another film where the cinematography is the best thing to recommend it . that would be fine if the film were a travelogue , but as a dramatic exercise in cinematic artistry , that is not good enough . the theme of inter species respect and co operation ventures timidly into the forbidden world of inter species love , but its approach is stereotypical , indicating a lack of understanding of the behavior motives of either species . as with many films , one always wonders what could have been achieved by a more innovative director and a more creative screenwriter . alas , we probably will never know .",1,0
"born again is a okay episode of season 1 . the reincarnation bit , in my opinion , is cool . the more i watch it , the more i like it , yet it will never rise above 'very good' for me . even though it is not very memorable , i'll always remember it as the reincarnation episode . anyway , now i will say what is good and bad about this episode , the good oragami . oh yeah ! that fish tank was nice . thrown out of a window . very classy . x the bad marry your best friend's wife ! ? o o what a random pick to reincarnate . why didn't the guy who died by having his scarf tangled up , try to take his scarf off instead ? conclusion okay episode , not very memorable . 7 10",1,0
"hmmmm , want a little romance with your mystery ? this has it . i think if the romance was ditched this would have made for a better movie . but how could the romance be ditched when the story's borrowed from something called a harlequin romance novel , whatever the heck that is . had the romance been ditched , the story might have been a little too weak . the mystery here wasn't too bad , quite interesting but nothing on the level of mission impossible international espionage . oh well . i thought mel harris was pretty good ; her short skirts , i think , added some sex appeal . but this rob stewart guy probably could have been better cast , maybe with a more well known tv movie actor . the directing was decent and the writing could have been improved on both could have been a little edgier , a little darker , more adventurous . one thing that was great about this was the use of real european locations . that could easily have been changed so this could have been filmed in canada but they really were in magnificently beautiful places like budapest . possibly a drawback was the director and or cinematographer's choice to frame certain shots picture postcard perfect . not good . had this been a more dramatic motion picture shot for the big screen , picture postcard perfect scenes really need to take a backseat and just be a nice part of the background . this was just a tv movie , though , so they had to add some ummmph to the picture and some of that ummmph came from the scenery . overall , twasn't really a bad movie . i'll tell you what , this was absolutely the best canadian hungarian production i have ever seen ! and the only that i know of . i hereby proclaim this to be a mediocre made for tv movie , giving it a grade of c",1,0
"after seeing this film for the 3rd time now i think it is almost adam's worst film punch drunk love is poor in comparison to this i must say at the end when dickie gets thrown of the boat it is so funny the hair is different to his and i like it when he flips everyone off . this film should only be brought if your a true adam sandler fan . the characters are poor in comparison to his funny films like the waterboy , which has the same people in it peter dante who is one of the assassins trying to kill the australian bird . this film lack depth and a decent story line and deserves to be in the bottom 100",1,0
"a series of shorts spoofing dumb tv shows , groove tube hits and misses a lot . overall , i do really like this movie . unfortunately , a couple of the segments are totally boring . a few really great clips make up for this . a predecessor to such classics like kentucky fried movie .",1,0
"i found this film to be the usual french slap in america's face . the camera , all too often , focuses on fat people , on sloppy homes and on tacky rural areas . while the narration seems to sympathize with and admire the small town folks who are introduced to the viewer , the cinematography exploits and demeans them . there were , undoubtedly , thin people to be seen in glencoe and neat , organized homes , but malle chose to show us the worst of what was there to be seen . i can only hope that some american filmmakers will go to france to reveal to the american public its worst elements . i can assure you , as a frequent visitor to france , that all is not well there . foreign immigrants are not readily assimilated , thus creating severe social inequities . but americans are not eager to unmask the french for their prejudice toward their own compatriots and their envy toward the u . s . , so we're not likely to see films on the subject .",1,0
"after seeing the 'oh so acclaimed' fargo and thinking it was nothing more than average , i was wandering if it would be a good idea to rent another coen 'masterpiece' . this time i was much less disappointed than i was with fargo and i must say that most of the credit for that goes to the good jokes and the good acting of george clooney . well done mr . clooney , make more of these and less 'perfect stormish' movies . you can act and you showed it here . 7 out of 10",1,0
"vincent price's follow up to house of wax 1953 , the film which cemented his reputation as a horror icon , similarly revolves around a bitter albeit resourceful showman . though a remake , the former shot in technicolor remains the superior effort ; that said , apart from some resistible comic relief , the obligatory resort to cheap gimmickry it was another 3 d showcase and occasional narrative shortcomings whatever happened to the missing bag which supposedly turned up at some police station containing a severed head ? , this offers more than enough grand guignol type thrills and overall camp value price hamming it up in a variety of disguises as an inventor of illusions impersonating 'missing' star conjurers who had taken advantage of his genius to stand on its own two feet . incidentally , director brahm's involvement here proves no mere coincidence since the narrative incorporates elements from two horror titles both starring laird cregar he had previously helmed i . e . the lodger 1944 and hangover square 1945 . the young leads are played by mary murphy as price's ing nue assistant and patrick o'neal as her police detective boyfriend curiously enough , he would himself take the lead in a similar piece , chamber of horrors 1966 , which i have acquired just in time to serve as an encore to this one . an interesting sideline here is the latter's adoption of a novel detection technique , fingerprinting , which is crucial in bringing about price's downfall in a predictable but rather awkward fiery climax though the persistent snooping of his amateur crime novelist landlady has at least as much to do with it in the long run ! watching the star in a made to measure role , the film emerges a good deal of fun particularly at a compact 73 minutes .",1,0
